index,location_key,latitude,longitude,begin,end,duration,distance_centroid
0,cluster-15_location-0,50.648798135593225,-0.3308612966101694,2017-06-10 12:01:57+00:00,2017-06-12 22:00:46+00:00,57.98027777777778,5274.174288704076
1,cluster-15_location-1,50.63864186046512,-0.3504782953488372,2017-06-13 00:06:17+00:00,2017-06-14 18:02:33+00:00,41.937777777777775,6995.773257427261
2,cluster-15_location-2,50.641615438596496,-0.3321087210526316,2017-06-14 20:10:30+00:00,2017-06-17 04:14:58+00:00,56.074444444444445,5692.439706292269
3,cluster-15_location-3,50.63483724137932,-0.3299910396551724,2017-06-17 06:06:35+00:00,2017-06-27 23:04:52+00:00,256.9713888888889,5967.390092990003
4,cluster-15_location-4,50.688268400000005,-0.3085752639999999,2017-06-28 02:20:42+00:00,2017-06-29 02:02:32+00:00,23.697222222222223,4149.37792344073
5,cluster-15_location-5,50.68636347826087,-0.2983151434782609,2017-06-29 03:22:01+00:00,2017-06-30 01:04:52+00:00,21.714166666666667,3451.7183924616
6,cluster-15_location-6,50.68144611111111,-0.3064286055555555,2017-06-30 03:05:01+00:00,2017-06-30 20:01:52+00:00,16.9475,3614.9806919192742
7,cluster-15_location-7,50.68737545454547,-0.2662269727272727,2017-06-30 22:07:44+00:00,2017-07-01 19:14:58+00:00,21.120555555555555,2391.620591678457
8,cluster-15_location-8,50.66597473684211,-0.2918173631578947,2017-07-08 09:16:27+00:00,2017-07-09 03:16:25+00:00,17.999444444444446,2157.916814101162
9,cluster-15_location-9,50.66110173913045,-0.2998397086956522,2017-07-09 04:18:00+00:00,2017-07-10 02:10:40+00:00,21.877777777777776,2779.650955292854
10,cluster-15_location-10,50.65615645833333,-0.3080550666666666,2017-07-10 04:12:40+00:00,2017-07-12 03:20:06+00:00,47.12388888888889,3482.9623963923805
11,cluster-15_location-11,50.6670251724138,-0.1958112137931034,2017-07-12 10:14:14+00:00,2017-07-13 14:18:05+00:00,28.064166666666665,4609.713769989828
12,cluster-15_location-12,50.65167388888889,-0.3125256444444445,2017-07-13 18:06:38+00:00,2017-07-14 11:04:17+00:00,16.960833333333333,3957.797874068898
13,cluster-15_location-13,50.649362222222216,-0.3058050888888888,2017-07-14 12:18:29+00:00,2017-07-15 05:16:07+00:00,16.960555555555555,3654.061378837313
14,cluster-15_location-14,50.6444856,-0.313829,2017-07-15 07:00:38+00:00,2017-07-16 07:15:58+00:00,24.255555555555556,4420.801872312282
15,cluster-15_location-15,50.64751764705882,-0.2955282470588235,2017-07-16 09:02:46+00:00,2017-07-17 01:18:53+00:00,16.26861111111111,3182.3382884876787
16,cluster-15_location-16,50.68259846153846,-0.2103414153846154,2017-07-23 14:15:20+00:00,2017-07-24 02:01:26+00:00,11.768333333333333,4025.941875306772
17,cluster-15_location-17,50.677964583333335,-0.2150446499999999,2017-07-24 04:02:14+00:00,2017-07-25 03:13:46+00:00,23.192222222222224,3509.834723174803
18,cluster-15_location-18,50.68165294117647,-0.2392015647058823,2017-07-25 05:04:49+00:00,2017-07-25 21:00:09+00:00,15.922222222222222,2322.156187770275
19,cluster-15_location-19,50.68830276422765,-0.2411426024390244,2017-07-25 23:11:35+00:00,2017-07-31 01:01:47+00:00,121.83666666666667,2844.3537988427806
20,cluster-15_location-20,50.68059565217391,-0.2000938391304347,2017-07-31 04:05:04+00:00,2017-08-01 02:17:09+00:00,22.20138888888889,4597.734867749678
21,cluster-15_location-21,50.673239333333335,-0.2229841133333333,2017-08-01 04:16:00+00:00,2017-08-01 18:07:40+00:00,13.86111111111111,2807.70432973171
22,cluster-15_location-22,50.675763373493965,-0.2081381301204819,2017-08-01 20:17:48+00:00,2017-08-05 07:04:11+00:00,82.77305555555556,3890.626367557617
23,cluster-15_location-23,50.6712651724138,-0.2129791931034483,2017-08-05 09:17:42+00:00,2017-08-06 13:09:43+00:00,27.866944444444446,3446.551546971405
24,cluster-15_location-24,50.702511875,-0.24159875625,2017-08-13 06:06:06+00:00,2017-08-13 21:19:47+00:00,15.228055555555555,4277.409877169125
25,cluster-15_location-25,50.672885882352944,-0.1976409705882353,2017-08-14 00:11:26+00:00,2017-08-14 16:09:26+00:00,15.966666666666667,4542.367107468989
26,cluster-15_location-26,50.65929243243244,-0.2221489594594594,2017-08-14 18:12:26+00:00,2017-08-16 07:05:17+00:00,36.880833333333335,2854.859226147669
27,cluster-15_location-27,50.657346105263166,-0.2120068978947368,2017-08-16 08:07:57+00:00,2017-08-20 07:04:57+00:00,94.95,3601.6407861274624
28,cluster-15_location-28,50.6621638888889,-0.2038863944444444,2017-08-20 08:18:35+00:00,2017-08-21 01:19:23+00:00,17.013333333333332,4063.34669717144
29,cluster-15_location-29,50.65249352941176,-0.2200189294117647,2017-08-21 03:07:11+00:00,2017-08-21 19:15:43+00:00,16.142222222222223,3273.727673969197
30,cluster-15_location-30,50.66413461538461,-0.2141569230769231,2017-08-21 21:19:52+00:00,2017-08-22 09:08:12+00:00,11.805555555555555,3322.916246270594
31,cluster-15_location-31,50.65434782608696,-0.2301817347826087,2017-08-22 11:18:43+00:00,2017-08-23 09:00:12+00:00,21.691388888888888,2547.4658556500103
32,cluster-15_location-32,50.69708266666667,-0.25350044,2017-08-29 09:19:44+00:00,2017-08-29 23:10:29+00:00,13.845833333333333,3487.1046476273004
33,cluster-15_location-33,50.6901555,-0.251610075,2017-08-30 01:20:50+00:00,2017-08-30 20:02:19+00:00,18.691388888888888,2758.431099284081
34,cluster-15_location-34,50.683644117647056,-0.2490170529411764,2017-08-30 22:12:37+00:00,2017-08-31 14:07:55+00:00,15.921666666666667,2130.940727705235
35,cluster-15_location-35,50.674602,-0.23699756,2017-08-31 16:11:49+00:00,2017-09-01 06:02:33+00:00,13.845555555555556,1949.906617256793
36,cluster-15_location-36,50.685454375000006,-0.2594679,2017-09-01 08:08:40+00:00,2017-09-01 23:01:46+00:00,14.885,2155.0958441824987
37,cluster-15_location-37,50.67863357142857,-0.2572736785714285,2017-09-02 00:16:50+00:00,2017-09-02 13:05:13+00:00,12.80638888888889,1420.4118622530289
39,cluster-15_location-39,50.67280371428571,-0.2939811428571429,2017-09-03 06:08:17+00:00,2017-09-04 16:03:31+00:00,33.92055555555555,2427.3403399980343
40,cluster-15_location-40,50.651577777777774,-0.2484032333333333,2017-09-17 07:04:30+00:00,2017-09-18 00:03:48+00:00,16.988333333333333,1850.1036088443047
41,cluster-15_location-41,50.65821888888888,-0.2507929666666666,2017-09-18 02:11:39+00:00,2017-09-18 19:09:21+00:00,16.961666666666666,1143.2210593886475
42,cluster-15_location-42,50.66505176470588,-0.2530079352941176,2017-09-18 21:11:05+00:00,2017-09-19 13:06:33+00:00,15.924444444444445,589.1600430947884
43,cluster-15_location-43,50.65629631578948,-0.2405366578947368,2017-09-19 15:11:08+00:00,2017-09-20 09:11:11+00:00,18.000833333333333,1819.588618210288
